,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighborhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address,Source
97,,Yes,Beer & Wine Only,"Casual, Trendy",Casual,No,Szechuan; ,,No,No,,"Lunch, Dinner",Yes,Yes,No,,,,No,A,,,,No,,Yes,No,,Yes,Free,$11-30,Szechuan Mountain House,East Village,4.0,178.0,10003,23 St Marks Pl,Chinese
98,No,Yes,No,,Casual,No,Chinese; Asian Fusion; ,Yes,No,No,,,,,No,,,,No,A,,Yes,Quiet,No,Street,Yes,No,No,No,No,,The Dumpling Shop,East Village,4.5,52.0,10003,124 2nd Ave,Chinese
99,,Yes,Beer & Wine Only,Intimate,Casual,Yes,American (New); Chinese; ,No,No,,,Dinner,No,No,,,,,No,A,,Yes,Average,No,Street,No,Yes,Yes,,No,$31-60,Tuome,"East Village, Alphabet City",4.5,358.0,10009,536 E 5th St,Chinese
100,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,No,,,,No,C,,,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Hunan Bistro,East Village,3.5,190.0,10003,96 3rd Ave,Chinese
101,,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; Noodles; Soup; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,B,Yes,Yes,Average,No,Street,Yes,No,Yes,,Free,$11-30,The Bao,East Village,3.5,976.0,10003,13 St Marks Pl,Chinese
102,,Yes,,,Casual,,Chinese; ,,Yes,,,,Yes,No,,,,,,B,,,,,,Yes,Yes,,,,$11-30,Chong Qing Xiao Mian II,East Village,4.0,28.0,10003,82 2nd Ave,Chinese
103,,Yes,Beer & Wine Only,Casual,Casual,Yes,Noodles; Chinese; Taiwanese; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,Yes,Street,Yes,No,Yes,No,No,$11-30,The Tang,East Village,4.0,281.0,10009,120 1st Ave,Chinese
104,,Yes,Beer & Wine Only,Casual,Casual,,Taiwanese; ,No,No,,Yes,Dinner,No,No,,Yes,,,No,A,,,Quiet,No,Street,Yes,No,Yes,Yes,Free,$11-30,Ho Foods,"East Village, Alphabet City",4.0,154.0,10009,110 E 7th St,Chinese
105,No,Yes,Beer & Wine Only,Casual,Casual,No,Noodles; Chinese; ,Yes,Yes,No,Yes,Dinner,No,Yes,,,,,No,A,,,Average,Yes,,Yes,No,Yes,Yes,No,$11-30,Little Tong Noodle Shop,East Village,4.0,221.0,10003,177 1st Ave,Chinese
106,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Cajun/Creole; Seafood; Chinese; ,,No,No,Yes,"Dinner, Late Night",Yes,No,,Yes,,,Yes,B,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Le Sia,East Village,4.0,154.0,10003,11 E 7th St,Chinese
107,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,No,Bars; Dim Sum; Taiwanese; ,Yes,Yes,Yes,Yes,"Brunch, Lunch, Dinner",Yes,Yes,Yes,,,,No,B,,,Average,No,,Yes,Yes,Yes,No,Free,$11-30,Carma East,"East Village, Alphabet City",4.0,201.0,10009,507 E 6th St,Chinese
108,No,Yes,Beer & Wine Only,Casual,Casual,No,Taiwanese; ,Yes,No,No,,,Yes,No,,,,,No,,,,,No,,Yes,Yes,Yes,Yes,No,$11-30,886,East Village,4.0,162.0,10003,26 Saint Marks Pl,Chinese
