,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
1158,NA,Yes,Full Bar,Casual,Casual,Yes,Szechuan; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,Yes,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Han Dynasty,Upper West Side,4.0,481,10024,215 W 85th St
1159,NA,Yes,No,"Divey, Casual",Casual,Yes,Chinese; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Fairview Chinese Restaurant,NA,4.0,130,07022,363 Fairview Ave
1160,NA,NA,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,No,NA,Yes,No,NA,NA,No,NA,Hang Lung Chinese Restaurant,Washington Heights,2.5,3,10040,1614 Saint Nicholas Ave
1161,NA,Yes,NA,NA,Casual,NA,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,$11-30,Empire Chinese Restaurant,Washington Heights,3.5,7,10040,1635 Saint Nicholas Ave
1162,NA,No,NA,NA,NA,NA,Chinese; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79 out of 100,NA,NA,NA,NA,NA,NA,NA,NA,NA,Free,NA,New Golden Fountain,Woodlawn,5.0,7,10705,365 S Broadway
1163,No,Yes,No,NA,NA,Yes,Chinese; ,No,Yes,No,NA,NA,No,NA,No,NA,NA,NA,Yes,NA,NA,Yes,NA,No,Street,Yes,Yes,Yes,Yes,Free,NA,yu kitchen,Manhattan Valley,4.0,21,10025,2656 Broadway
1164,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,NA,NA,No,Under $10,Silver Palace Chinese Restaurant,Washington Heights,2.5,2,10033,1430 Saint Nicholas Ave
1165,NA,Yes,No,Casual,Casual,Yes,Szechuan; Hot Pot; ,No,Yes,No,NA,NA,Yes,Yes,No,NA,NA,NA,Yes,NA,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Wok Bar,NA,4.0,70,07024,200 Main StSte 9
1166,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,NA,No,$11-30,Mei Chung Mei Restaurant,Kingsbridge,4.0,15,10463,157 W 231st St
1167,NA,Yes,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,No,NA,NA,Under $10,No.1 Chinese Restaurant,Washington Heights,2.5,11,10032,3853 Broadway
1168,NA,NA,No,NA,Casual,NA,Shanghainese; Noodles; Soup; ,NA,NA,No,NA,NA,Yes,Yes,No,NA,NA,NA,Yes,NA,NA,NA,Average,No,NA,Yes,No,Yes,NA,NA,NA,Dumpling Den,NA,4.0,54,07024,249 Main St
1169,NA,No,No,NA,Casual,No,Chinese; ,No,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,NA,Yes,No,Yes,NA,No,Under $10,Eastern Style Chinese,Concourse,4.0,6,10456,1233 Grant Ave
1170,NA,No,No,NA,Casual,No,Chinese; ,No,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,NA,NA,No,Under $10,Good Taste Chinese Restaurant,Fordham,5.0,1,10458,209 E 183rd St
1171,NA,Yes,No,Casual,Casual,Yes,Kosher; Chinese; Sushi Bars; ,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Chop Chop,Washington Heights,3.0,37,10033,501 W 184th St
